LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
F24 - BDC - MWIKI EB - Spirits - 14T,NBO,Nairobi,MWIKI,14T,,11346.46
F24 - BDC - MWIKI EB - Spirits - 30T,NBO,Nairobi,MWIKI,30T,,16698.21
F24 - BDC - MWIKI EB - Spirits - 7.5T,NBO,Nairobi,MWIKI,7.5T,,9235.62
F24 - BDC - MWIKI EB - Spirits - P/Up,NBO,Nairobi,MWIKI,P/UP,,12403.03
F24 - BDC - NAIROBI - Spirits - 14T,NBO,Nairobi,NAIROBI,14T,,12765.64
F24 - BDC - NAIROBI - Spirits - 30T,NBO,Nairobi,NAIROBI,30T,,16698.21
F24 - BDC - NAIROBI - Spirits - 7.5T,NBO,Nairobi,NAIROBI,7.5T,,10158.83
F24 - BDC - NAIROBI - Spirits - P/Up,NBO,Nairobi,NAIROBI,P/UP,,12403.03
F24 - BDC - NAIROBI THT - Spirits - 14T,NBO,Nairobi,NAIROBI THT,14T,,11346.46
F24 - BDC - NAIROBI THT - Spirits - 30T,NBO,Nairobi,NAIROBI THT,30T,,16698.21
F24 - BDC - NAIROBI THT - Spirits - 7.5T,NBO,Nairobi,NAIROBI THT,7.5T,,16052.67
F24 - BDC - NAIROBI THT - Spirits - P/Up,NBO,Nairobi,NAIROBI THT,P/UP,,10860.94
F24 - BDC - NGARA EB - Spirits - 14T,NBO,Nairobi,NGARA EB,14T,,13538.63
F24 - BDC - NGARA EB - Spirits - 30T,NBO,Nairobi,NGARA EB,30T,,16698.21
